,question,answer,source,length
103,What are the powers of the Board in conducting an inquiry under section 28 of the Act?,"The Board shall have the same powers as are vested in a civil court under the Code of Civil Procedure, 1908, in respect of matters relating to summoning and enforcing the attendance of any person and examining her on oath, receiving evidence of affidavit requiring the discovery and production of documents, inspecting any data, book, document, register, books of account or any other document, and such other matters as may be prescribed.",Digital Personal Data Protection Act 2023.pdf,439
104,Can the Board prevent access to any premises or take into custody any equipment or item under section 28 of the Act?,"No, the Board or its officers shall not prevent access to any premises or take into custody any equipment or item that may adversely affect the day-to-day functioning of a person.",Digital Personal Data Protection Act 2023.pdf,179
105,What is the procedure for appealing against an order or direction made by the Board under section 29 of the Act?,"Any person aggrieved by an order or direction made by the Board may prefer an appeal before the Appellate Tribunal within a period of sixty days from the date of receipt of the order or direction appealed against, and the appeal shall be in such form and manner and shall be accompanied by such fee as may be prescribed.",Digital Personal Data Protection Act 2023.pdf,320
106,What are the powers of the Appellate Tribunal in dealing with an appeal under section 29 of the Act?,"The Appellate Tribunal may entertain an appeal after the expiry of the period specified in sub-section (2), if it is satisfied that there was sufficient cause for not preferring the appeal within that period, and may pass such orders thereon as it thinks fit, confirming, modifying or setting aside the order appealed against.",Digital Personal Data Protection Act 2023.pdf,326
107,Can the Board accept a voluntary undertaking from any person under section 32 of the Act?,"Yes, the Board may accept a voluntary undertaking in respect of any matter related to observance of the provisions of this Act from any person at any stage of a proceeding under section 28, which may include an undertaking to take such action within such time as may be determined by the Board, or refrain from taking such action, and or publicising such undertaking.",Digital Personal Data Protection Act 2023.pdf,367
108,What are the consequences of failing to adhere to a voluntary undertaking accepted by the Board under section 32 of the Act?,"Where a person fails to adhere to any term of the voluntary undertaking accepted by the Board, such breach shall be deemed to be breach of the provisions of this Act and the Board may, after giving such person an opportunity of being heard, proceed in accordance with the provisions of section 33.",Digital Personal Data Protection Act 2023.pdf,297
109,What are the penalties that the Board can impose under section 33 of the Act?,"If the Board determines on conclusion of an inquiry that breach of the provisions of this Act or the rules made thereunder by a person is significant, it may, after giving the person an opportunity of being heard, impose penalties as provided in the Act.",Digital Personal Data Protection Act 2023.pdf,254
110,What is the purpose of the Board under the provisions of this Act?,"The Board is empowered to impose monetary penalties on Data Fiduciaries for breaches of the provisions of this Act, and to take other actions to secure observance of and deter breach of the provisions of this Act.",Digital Personal Data Protection Act 2023.pdf,213
111,What factors shall the Board consider while determining the amount of monetary penalty to be imposed under sub-section (1)?,"The Board shall have regard to the nature, gravity and duration of the breach; the type and nature of the personal data affected by the breach; the repetitive nature of the breach; whether the person, as a result of the breach, has realised a gain or avoided any loss; whether the person took any action to mitigate the effects and consequences of the breach, and the timeliness and effectiveness of such action; whether the monetary penalty to be imposed is proportionate and effective, having regard to the need to secure observance of and deter breach of the provisions of this Act; and the likely impact of the imposition of the monetary penalty on the person.",Digital Personal Data Protection Act 2023.pdf,664
112,What is the provision regarding the crediting of sums realised by way of penalties imposed by the Board under this Act?,All sums realised by way of penalties imposed by the Board under this Act shall be credited to the Consolidated Fund of India.,Digital Personal Data Protection Act 2023.pdf,126
113,What is the provision regarding the protection of action taken in good faith under this Act?,"No suit, prosecution or other legal proceedings shall lie against the Central Government, the Board, its Chairperson and any Member, officer or employee thereof for anything which is done or intended to be done in good faith under the provisions of this Act or the rules made thereunder.",Digital Personal Data Protection Act 2023.pdf,287
114,What is the power of the Central Government to call for information under this Act?,"The Central Government may, for the purposes of this Act, require the Board and any Data Fiduciary or intermediary to furnish such information as it may call for.",Digital Personal Data Protection Act 2023.pdf,162
115,What is the provision regarding the power of the Central Government to issue directions under this Act?,"The Central Government may, upon receipt of a reference in writing from the Board, direct any agency of the Central Government or any intermediary to block for access by the public or cause to be blocked for access by the public any information generated, transmitted, received, stored or hosted in any computer resource that enables such Data Fiduciary to carry on any activity relating to offering of goods or services to Data Principals within the territory of India.",Digital Personal Data Protection Act 2023.pdf,470
116,What is the provision regarding the consistency of this Act with other laws?,The provisions of this Act shall be in addition to and not in derogation of any other law for the time being in force.,Digital Personal Data Protection Act 2023.pdf,118
117,What is the provision regarding the bar of jurisdiction of civil courts under this Act?,No civil court shall have the jurisdiction to entertain any suit or proceeding in respect of any matter for which the Board is empowered under the provisions of this Act and no injunction shall be granted by any court or other authority in respect of any action taken or to be taken in pursuance of any power under the provisions of this Act.,Digital Personal Data Protection Act 2023.pdf,342
118,What is the power of the Central Government to make rules under this Act?,"The Central Government may, by notification, and subject to the condition of previous publication, make rules not inconsistent with the provisions of this Act, to carry out the purposes of this Act.",Digital Personal Data Protection Act 2023.pdf,198
119,What is the provision regarding the laying of rules and certain notifications before Parliament?,"Every rule made and every notification issued under section 16 and section 42 of this Act shall be laid, as soon as may be after it is made, before each House of Parliament, while it is in session, for a total period of thirty days which may be comprised in one session or in two or more successive sessions.",Digital Personal Data Protection Act 2023.pdf,308
120,What are the three Appellate Tribunals mentioned in the document?,"The three Appellate Tribunals mentioned are: (i) the Appellate Tribunal under the Information Technology Act, 2000; (ii) the Appellate Tribunal under the Airports Economic Regulatory Authority of India Act, 2008; and (iii) the Appellate Tribunal under the Digital Personal Data Protection Act, 2023.",Digital Personal Data Protection Act 2023.pdf,299
121,"What amendments are made to the Information Technology Act, 2000?","The amendments made to the Information Technology Act, 2000 are: (a) section 43A shall be omitted; (b) in section 81, in the proviso, after the words and figures “the Patents Act, 1970”, the words and figures “or the Digital Personal Data Protection Act, 2023” shall be inserted; and (c) in section 87, in sub-section (2), clause (ob) shall be omitted.",Digital Personal Data Protection Act 2023.pdf,352
122,What is the penalty for breach of observing the obligation of Data Fiduciary to take reasonable security safeguards to prevent personal data breach under sub-section (5) of section 8?,The penalty may extend to two hundred and fifty crore rupees.,Digital Personal Data Protection Act 2023.pdf,61
123,What is the penalty for breach of any term of voluntary undertaking accepted by the Board under section 32?,The penalty may extend to ten thousand rupees.,Digital Personal Data Protection Act 2023.pdf,46
124,"What is the revised clause (j) in section 8 of the Right to Information Act, 2005?",The revised clause (j) is: “(j) information which relates to personal information;”.,Digital Personal Data Protection Act 2023.pdf,84
125,What are the additional obligations in relation to children mentioned in the document?,The additional obligations in relation to children are mentioned in section 9.,Digital Personal Data Protection Act 2023.pdf,78
126,What is the penalty for breach of observing the obligation to give the Board or affected Data Principal notice of a personal data breach under sub-section (6) of section 8?,The penalty may extend to two hundred crore rupees.,Digital Personal Data Protection Act 2023.pdf,51
127,Who is the Secretary to the Govt. of India mentioned in the document?,Dr. Reeta Vasishta is the Secretary to the Govt. of India.,Digital Personal Data Protection Act 2023.pdf,58
128,What is the name of the Act mentioned in section 33(1) of the document?,"The name of the Act mentioned is not specified, but it refers to the Schedule [See section 33(1)].",Digital Personal Data Protection Act 2023.pdf,98
129,What is the penalty for breach of any other provision of this Act or the rules made thereunder?,The penalty may extend to fifty crore rupees.,Digital Personal Data Protection Act 2023.pdf,45
130,"What is the purpose of Chapter V of the Personal Data Protection Bill, 2018?",Chapter V deals with the processing of personal data and sensitive personal data of children.,"Personal_Data_Protection_Bill,2018.pdf",93
131,"What are the conditions for the cross-border transfer of personal data under the Personal Data Protection Bill, 2018?","The conditions for cross-border transfer of personal data are specified in Chapter VIII of the Bill, which includes restrictions on such transfer and the requirements for obtaining consent from the data principal.","Personal_Data_Protection_Bill,2018.pdf",213
132,"What is the role of the Data Protection Authority of India established under the Personal Data Protection Bill, 2018?","The Data Protection Authority of India is established to regulate and oversee the processing of personal data, and it has various powers and functions, including the power to issue directions, call for information, and conduct inquiries.","Personal_Data_Protection_Bill,2018.pdf",237
133,"What are the penalties for contravening the provisions of the Personal Data Protection Bill, 2018?","The Bill provides for various penalties for contravening its provisions, including penalties for failure to comply with data principal requests, failure to furnish reports and information, and contravention of directions or orders issued by the Authority.","Personal_Data_Protection_Bill,2018.pdf",255
134,"What is the purpose of the Data Protection Impact Assessment under the Personal Data Protection Bill, 2018?","The Data Protection Impact Assessment is a process to assess the impact of processing personal data on the rights and interests of data principals, and it is required to be conducted by data fiduciaries in certain circumstances.","Personal_Data_Protection_Bill,2018.pdf",228
135,"What are the rights of data principals under Chapter VI of the Personal Data Protection Bill, 2018?","Chapter VI of the Bill provides for various rights of data principals, including the right to confirmation and access, the right to correction, the right to data portability, and the right to be forgotten.","Personal_Data_Protection_Bill,2018.pdf",205
136,"What is the purpose of the exemptions under Chapter IX of the Personal Data Protection Bill, 2018?","Chapter IX of the Bill provides for exemptions from the application of the Bill in certain circumstances, including exemptions for the security of the state, prevention, detection, investigation and prosecution of contraventions of law, and processing for the purpose of legal proceedings.","Personal_Data_Protection_Bill,2018.pdf",289
137,"What is the role of the Adjudicating Officer under the Personal Data Protection Bill, 2018?","The Adjudicating Officer is appointed to adjudicate on penalties and compensation under the Bill, and has the power to impose penalties and award compensation to data principals.","Personal_Data_Protection_Bill,2018.pdf",178
138,"What is the purpose of the Appeals Tribunal under Chapter XII of the Personal Data Protection Bill, 2018?","The Appeals Tribunal is established to hear appeals against the orders of the Adjudicating Officer, and has the power to grant relief to data principals and data fiduciaries.","Personal_Data_Protection_Bill,2018.pdf",174
139,"What are the transitional provisions under Chapter XIV of the Personal Data Protection Bill, 2018?","Chapter XIV of the Bill provides for transitional provisions, including provisions for the commencement of the Bill, and the treatment of pending applications and proceedings under the existing data protection laws.","Personal_Data_Protection_Bill,2018.pdf",215
140,"What is the objective of the Personal Data Protection Act, 2018?","The objective of the Personal Data Protection Act, 2018 is to protect the autonomy of individuals in relation with their personal data, to specify where the flow and usage of personal data is appropriate, to create a relationship of trust between persons and entities processing their personal data, to specify the rights of individuals whose personal data are processed, to create a framework for implementing organisational and technical measures in processing personal data, to lay down norms for cross-border transfer of personal data, to ensure the accountability of entities processing personal data, to provide remedies for unauthorised and harmful processing, and to establish a Data Protection Authority for overseeing processing activities.","Personal_Data_Protection_Bill,2018.pdf",750
141,"To whom does the Personal Data Protection Act, 2018 apply?","The Act applies to the following: (a) processing of personal data where such data has been collected, disclosed, shared or otherwise processed within the territory of India; and (b) processing of personal data by the State, any Indian company, any Indian citizen or any person or body of persons incorporated or created under Indian law.","Personal_Data_Protection_Bill,2018.pdf",337
142,"What is the definition of 'anonymisation' under the Personal Data Protection Act, 2018?","Anonymisation means the irreversible process of transforming or converting personal data to a form in which a data principal cannot be identified, meeting the standards specified by the Authority.","Personal_Data_Protection_Bill,2018.pdf",196
143,"What is the definition of 'biometric data' under the Personal Data Protection Act, 2018?","Biometric data means facial images, fingerprints, iris scans, or any other similar personal data resulting from measurements or technical processing operations carried out on physical, physiological, or behavioural characteristics of a data principal, which allow or confirm the unique identification of that natural person.","Personal_Data_Protection_Bill,2018.pdf",324
144,"What is the definition of 'consent' under the Personal Data Protection Act, 2018?",Consent means consent under section 12 of the Act.,"Personal_Data_Protection_Bill,2018.pdf",50
145,"What is the definition of 'data' under the Personal Data Protection Act, 2018?","Data means and includes a representation of information, facts, concepts, opinions, or instructions in a manner suitable for communication, interpretation, or processing by humans or by automated means.","Personal_Data_Protection_Bill,2018.pdf",202
146,"What is the definition of 'data fiduciary' under the Personal Data Protection Act, 2018?","Data fiduciary means any person, including the State, a company, any juristic entity or any individual who alone or in conjunction with others determines the purpose and means of processing of personal data.","Personal_Data_Protection_Bill,2018.pdf",207
147,"What is the definition of 'data processor' under the Personal Data Protection Act, 2018?","Data processor means any person, including the State, a company, any juristic entity or any individual who processes personal data on behalf of a data fiduciary, but does not include an employee of the data fiduciary.","Personal_Data_Protection_Bill,2018.pdf",217
148,"What is the definition of 'harm' under the Personal Data Protection Act, 2018?","Harm includes - (i) bodily or mental injury; (ii) loss, distortion or theft of identity; (iii) financial loss or loss of property; (iv) loss of reputation, or humiliation; (v) loss of employment; and (vi) any discriminatory treatment.","Personal_Data_Protection_Bill,2018.pdf",234
149,"When does the Personal Data Protection Act, 2018 come into force?","The provisions of Chapter XIV of the Act shall come into force on such date, as the Central Government may by notification appoint and the remaining provisions of the Act shall come into force in accordance with the provisions in that Chapter.","Personal_Data_Protection_Bill,2018.pdf",243
150,"What is meant by 'harm' in the context of personal data processing, and how is its significance determined?","Harm refers to any negative consequence that may arise from the processing of personal data. The significance of harm is determined by factors such as the nature of the personal data being processed, the impact, continuity, persistence, or irreversibility of the harm.","Personal_Data_Protection_Bill,2018.pdf",268
151,"What is meant by 'profiling' in the context of personal data processing, and what does it involve?","Profiling refers to any form of processing of personal data that analyzes or predicts aspects concerning the behavior, attributes, or interests of a data principal. This includes operations such as collection, recording, organization, structuring, storage, adaptation, alteration, retrieval, use, alignment, or combination of personal data.","Personal_Data_Protection_Bill,2018.pdf",340
152,"What is the purpose of notification in the context of personal data processing, and how is it published?","Notification refers to the process of informing the data principal about the processing of their personal data. Notification is published in the Official Gazette, and the term 'notify' is construed accordingly.","Personal_Data_Protection_Bill,2018.pdf",210
153,"What is meant by 'sensitive personal data', and what categories of data are included in this definition?","Sensitive personal data refers to personal data that reveals or constitutes information about an individual's passwords, financial data, health data, official identifier, sex life, sexual orientation, biometric data, genetic data, transgender status, intersex status, caste or tribe, religious or political belief or affiliation, or any other category of data specified by the Authority.","Personal_Data_Protection_Bill,2018.pdf",387
154,"What is the duty of a data fiduciary with respect to the processing of personal data, and what principles must be followed?","A data fiduciary owes a duty to the data principal to process personal data in a fair and reasonable manner that respects the privacy of the data principal. The principles of purpose limitation, collection limitation, lawful processing, and notice must be followed in the processing of personal data.","Personal_Data_Protection_Bill,2018.pdf",300
155,"What is the purpose of the notice requirement in the context of personal data processing, and what information must be provided to the data principal?","The notice requirement is intended to inform the data principal about the processing of their personal data. The data fiduciary must provide the data principal with information about the purposes of processing, categories of personal data being collected, identity and contact details of the data fiduciary, right to withdraw consent, and other relevant information.","Personal_Data_Protection_Bill,2018.pdf",366
156,"What is meant by 'personal data breach', and what consequences must be considered in the event of a breach?","Personal data breach refers to any unauthorized or accidental disclosure, acquisition, sharing, use, alteration, destruction, loss of access to, or other compromise of personal data that affects the confidentiality, integrity, or availability of personal data. In the event of a breach, the data fiduciary must consider the consequences of the breach and take necessary measures to mitigate its impact.","Personal_Data_Protection_Bill,2018.pdf",402
157,"What is the definition of 'health data', and what types of data are included in this definition?","Health data refers to data related to the state of physical or mental health of the data principal, including records regarding the past, present, or future state of health, data collected in the course of registration for or provision of health services, and data associating the data principal with the provision of specific health services.","Personal_Data_Protection_Bill,2018.pdf",343
158,"What is the definition of 'intersex status', and what does it mean for an individual to have an intersex status?","Intersex status refers to the condition of a data principal who is a combination of female or male, neither wholly female nor wholly male, or neither female nor male. This definition recognizes the diversity of human sex characteristics and provides a framework for understanding and respecting the identities of individuals with intersex status.","Personal_Data_Protection_Bill,2018.pdf",346
159,"What is the definition of 'transgender status', and what does it mean for an individual to have a transgender status?","Transgender status refers to the condition of a data principal whose sense of gender does not match the gender assigned to them at birth, whether or not they have undergone sex reassignment surgery, hormone therapy, laser therapy, or any other similar medical procedure. This definition recognizes the diversity of human gender identities and provides a framework for understanding and respecting the identities of transgender individuals.","Personal_Data_Protection_Bill,2018.pdf",439
160,What is the responsibility of a data fiduciary in providing information to the data principal under section 8?,The data fiduciary shall provide the information required under this section to the data principal in a clear and concise manner that is easily comprehensible to a reasonable person and in multiple languages where necessary and practicable.,"Personal_Data_Protection_Bill,2018.pdf",240
161,Can the data fiduciary retain personal data for a longer period of time than necessary for the purpose of processing?,"Yes, personal data may be retained for a longer period of time if such retention is explicitly mandated, or necessary to comply with any obligation under a law.","Personal_Data_Protection_Bill,2018.pdf",160
162,What are the conditions that must be met for consent to be valid under section 12 of the Act?,"Consent must be free, informed, specific, clear, and capable of being withdrawn.","Personal_Data_Protection_Bill,2018.pdf",80
163,Can personal data be processed without the consent of the data principal?,"Yes, personal data may be processed without consent if it is necessary for any function of Parliament or any State Legislature, or if it is necessary for the exercise of any function of the State authorised by law.","Personal_Data_Protection_Bill,2018.pdf",214
164,What is the accountability of the data fiduciary under the Act?,"The data fiduciary shall be responsible for complying with all obligations set out in this Act in respect of any processing undertaken by it or on its behalf, and must be able to demonstrate that any processing undertaken by it or on its behalf is in accordance with the provisions of this Act.","Personal_Data_Protection_Bill,2018.pdf",294
165,Can personal data be processed for purposes related to employment?,"Yes, personal data may be processed if such processing is necessary for recruitment or termination of employment, provision of any service to or benefit sought by the data principal who is an employee, verifying the attendance of the data principal who is an employee, or any other activity relating to the assessment of the performance of the data principal who is an employee.","Personal_Data_Protection_Bill,2018.pdf",378
166,What are the grounds for processing personal data under section 17 of the Act?,"Personal data may be processed if such processing is necessary for such reasonable purposes as may be specified after taking into consideration the interest of the data fiduciary, whether the data fiduciary can reasonably be expected to obtain the consent of the data principal, any public interest in processing for that purpose, the effect of the processing activity on the rights of the data principal, and the reasonable expectations of the data principal having regard to the context of the processing.","Personal_Data_Protection_Bill,2018.pdf",507
167,Can sensitive personal data be processed without explicit consent?,"No, sensitive personal data may only be processed on the basis of explicit consent.","Personal_Data_Protection_Bill,2018.pdf",83
168,What is the responsibility of the data fiduciary in ensuring data quality under section 9 of the Act?,"The data fiduciary shall take reasonable steps to ensure that personal data processed is complete, accurate, not misleading and updated, having regard to the purposes for which it is processed.","Personal_Data_Protection_Bill,2018.pdf",193
169,Can personal data be retained for a longer period of time than necessary for the purpose of processing if it is necessary to comply with any obligation under a law?,"Yes, personal data may be retained for a longer period of time if such retention is necessary to comply with any obligation under a law.","Personal_Data_Protection_Bill,2018.pdf",136
170,What are the conditions for explicit consent under section 12?,"Consent shall be considered explicit only if it is valid as per section 12 and is additionally: (a) informed, having regard to whether the attention of the data principal has been drawn to purposes of or operations in processing that may have significant consequences for the data principal; (b) clear, having regard to whether it is meaningful without recourse to inference from conduct in a context; and (c) specific, having regard to whether the data principal is given the choice of separately consenting to the purposes of, operations in, and the use of different categories of sensitive personal data relevant to processing.","Personal_Data_Protection_Bill,2018.pdf",630
171,Under what circumstances can sensitive personal data be processed for certain functions of the State?,Sensitive personal data may be processed if such processing is strictly necessary for: (a) any function of Parliament or any State Legislature; or (b) the exercise of any function of the State authorised by law for the provision of any service or benefit to the data principal.,"Personal_Data_Protection_Bill,2018.pdf",277
172,What are the conditions for processing sensitive personal data in compliance with law or any order of any court or tribunal?,Sensitive personal data may be processed if such processing is: (a) explicitly mandated under any law made by Parliament or any State Legislature; or (b) necessary for compliance with any order or judgment of any Court or Tribunal in India.,"Personal_Data_Protection_Bill,2018.pdf",240
173,What categories of sensitive personal data may be processed for prompt action?,"Passwords, financial data, health data, official identifiers, genetic data, and biometric data may be processed where such processing is strictly necessary: (a) to respond to any medical emergency involving a threat to the life or a severe threat to the health of the data principal; (b) to undertake any measure to provide medical treatment or health services to any individual during an epidemic, outbreak of disease or any other threat to public health; or (c) to undertake any measure to ensure safety of, or provide assistance or services to, any individual during any disaster or any breakdown of public order.","Personal_Data_Protection_Bill,2018.pdf",616
174,How are further categories of sensitive personal data specified?,The Authority shall specify categories of personal data under sub-section (1) having regard to: (a) the risk of significant harm that may be caused to the data principal by the processing of such category of personal data; (b) the expectation of confidentiality attached to such category of personal data; (c) whether a significantly discernible class of data principals may suffer significant harm from the processing of such category of personal data; and (d) the adequacy of protection afforded by ordinary provisions applicable to personal data.,"Personal_Data_Protection_Bill,2018.pdf",549
175,What are the rights of data principals with respect to confirmation and access?,"The data principal shall have the right to obtain from the data fiduciary: (a) confirmation whether the data fiduciary is processing or has processed personal data of the data principal; (b) a brief summary of the personal data of the data principal being processed or that has been processed by the data fiduciary; and (c) a brief summary of processing activities undertaken by the data fiduciary with respect to the personal data of the data principal, including any information provided in the notice under section 8 in relation to such processing activities.","Personal_Data_Protection_Bill,2018.pdf",562
176,"What are the rights of data principals with respect to correction, completion, and updating of personal data?",The data principal shall have the right to obtain from the data fiduciary: (a) the correction of inaccurate or misleading personal data; (b) the completion of incomplete personal data; and (c) the updating of personal data that is out of date.,"Personal_Data_Protection_Bill,2018.pdf",243
177,What are the rights of data principals with respect to data portability?,"The data principal shall have the right to: (a) receive the following personal data related to the data principal in a structured, commonly used and machine-readable format; and (b) have the personal data referred to in clause (a) transferred to any other data fiduciary in the format referred to in that clause.","Personal_Data_Protection_Bill,2018.pdf",312
178,What are the conditions for processing personal data of children?,Every data fiduciary shall process personal data of children in a manner that protects and advances the rights and best interests of the child. Appropriate mechanisms for age verification and parental consent shall be incorporated by data fiduciaries in order to process personal data of children.,"Personal_Data_Protection_Bill,2018.pdf",297
179,What are the responsibilities of guardian data fiduciaries with respect to children?,"Guardian data fiduciaries shall be barred from profiling, tracking, or behavioural monitoring of, or targeted advertising directed at, children and undertaking any other processing of personal data that can cause significant harm to the child.","Personal_Data_Protection_Bill,2018.pdf",243
180,"What is the right to be forgotten under the Act, and what are the conditions for its applicability?",The right to be forgotten is the right of a data principal to restrict or prevent continuing disclosure of personal data by a data fiduciary. The conditions for its applicability are: (a) the disclosure has served its purpose or is no longer necessary; (b) the consent under which the disclosure was made has been withdrawn; or (c) the disclosure was made contrary to the provisions of the Act or any other law.,"Personal_Data_Protection_Bill,2018.pdf",411
181,What is the role of the Adjudicating Officer in determining the applicability of the right to be forgotten?,The Adjudicating Officer determines the applicability of the conditions for the right to be forgotten and whether the rights and interests of the data principal in preventing or restricting the continued disclosure of personal data override the right to freedom of speech and expression and the right to information of any citizen.,"Personal_Data_Protection_Bill,2018.pdf",331
182,What are the factors that the Adjudicating Officer shall have regard to in determining whether the condition for the right to be forgotten is satisfied?,The Adjudicating Officer shall have regard to: (a) the sensitivity of the personal data; (b) the scale of disclosure and the degree of accessibility sought to be restricted or prevented; (c) the role of the data principal in public life; (d) the relevance of the personal data to the public; and (e) the nature of the disclosure and of the activities of the data fiduciary.,"Personal_Data_Protection_Bill,2018.pdf",373
183,What is the procedure for exercising the right to be forgotten?,"The right to be forgotten is exercised by filing an application in such form and manner as may be prescribed. The application shall be made to the Adjudicating Officer, who shall review the application and determine whether the conditions for the right to be forgotten are satisfied.","Personal_Data_Protection_Bill,2018.pdf",283
184,What are the general conditions for the exercise of rights under the Act?,"The exercise of any right under the Act, except the right under section 27, shall only be on the basis of a request made in writing to the data fiduciary with reasonable information to satisfy the data fiduciary of the identity of the data principal making the request. The data fiduciary shall acknowledge receipt of such request within such period of time as may be specified.","Personal_Data_Protection_Bill,2018.pdf",378
185,What is the role of the Authority in specifying the time period for compliance with requests under the Act?,The Authority may specify a reasonable time period within which the data fiduciary shall comply with the requests under the Act. Such time period shall be communicated to the data principal along with the acknowledgement referred to in sub-section (1) of section 28.,"Personal_Data_Protection_Bill,2018.pdf",266
186,What are the security safeguards that the data fiduciary and data processor shall implement under the Act?,"The data fiduciary and data processor shall implement appropriate security safeguards, including: (a) use of methods such as de-identification and encryption; (b) steps necessary to protect the integrity of personal data; and (c) steps necessary to prevent misuse, unauthorized access to, modification, disclosure or destruction of personal data.","Personal_Data_Protection_Bill,2018.pdf",346
187,What is the procedure for notifying the Authority of a personal data breach under the Act?,The data fiduciary shall notify the Authority of any personal data breach relating to any personal data processed by the data fiduciary where such breach is likely to cause harm to any data principal. The notification shall include: (a) the nature of personal data which is the subject matter of the breach; (b) the number of data principals affected by the breach; (c) possible consequences of the breach; and (d) measures being taken by the data fiduciary to remedy the breach.,"Personal_Data_Protection_Bill,2018.pdf",479
188,What is the role of the Authority in determining whether a personal data breach should be reported to the data principal?,"The Authority shall determine whether a personal data breach should be reported to the data principal, taking into account the severity of the harm that may be caused to such data principal or whether some action is required on the part of the data principal to mitigate such harm.","Personal_Data_Protection_Bill,2018.pdf",281
189,What is the purpose of a data protection impact assessment under the Act?,"A data protection impact assessment is undertaken to assess the potential harm that may be caused to data principals whose personal data is proposed to be processed. The assessment shall contain: (a) a detailed description of the proposed processing operation, the purpose of processing and the nature of personal data being processed; (b) an assessment of the potential harm that may be caused to the data principals; and (c) measures for managing, minimizing, mitigating or removing such risk of harm.","Personal_Data_Protection_Bill,2018.pdf",503
190,"What is the role of the Authority in specifying the form, manner, and procedure for conducting audits under this section?","The Authority shall specify the form, manner, and procedure for conducting audits under this section, including any civil penalties on data auditors for negligence.","Personal_Data_Protection_Bill,2018.pdf",164
191,Who can be registered as a data auditor under this Act?,"Persons with expertise in the area of information technology, computer systems, data science, data protection or privacy, with such qualifications, experience, and eligibility having regard to factors such as independence, integrity, and ability, as may be specified by the Authority, can be registered as data auditors under this Act.","Personal_Data_Protection_Bill,2018.pdf",335
192,What is the role of a data protection officer appointed by a data fiduciary?,"A data protection officer is responsible for providing information and advice to the data fiduciary on matters relating to fulfilling its obligations under this Act, monitoring personal data processing activities, providing advice on data protection impact assessments, and acting as the point of contact for the data principal for raising grievances.","Personal_Data_Protection_Bill,2018.pdf",351
193,Under what circumstances can the Authority order a data fiduciary to conduct an audit?,The Authority may order a data fiduciary to conduct an audit if it is of the view that the data fiduciary is processing personal data in a manner that is likely to cause harm to a data principal.,"Personal_Data_Protection_Bill,2018.pdf",195
194,What are the obligations of a data processor engaged by a data fiduciary?,"A data processor shall only process personal data in accordance with the instructions of the data fiduciary, unless they are required to do otherwise under law, and shall treat any personal data that comes within their knowledge as confidential.","Personal_Data_Protection_Bill,2018.pdf",245
195,How are significant data fiduciaries notified by the Authority?,"The Authority shall notify certain data fiduciaries or classes of data fiduciaries as significant data fiduciaries, having regard to factors such as volume of personal data processed, sensitivity of personal data processed, turnover of the data fiduciary, risk of harm resulting from any processing, and use of new technologies for processing.","Personal_Data_Protection_Bill,2018.pdf",343
196,What are the obligations that apply only to significant data fiduciaries?,"Obligations such as data protection impact assessments, record-keeping, data audits, and appointment of a data protection officer apply only to significant data fiduciaries, as determined by the Authority.","Personal_Data_Protection_Bill,2018.pdf",205
197,How can a data principal raise a grievance against a data fiduciary?,"A data principal can raise a grievance against a data fiduciary by contacting the data protection officer, in case of a significant data fiduciary, or an officer designated for this purpose, in case of any other data fiduciary.","Personal_Data_Protection_Bill,2018.pdf",227
198,What are the conditions for cross-border transfer of personal data?,"Personal data can be transferred outside India if the transfer is made subject to standard contractual clauses or intra-group schemes approved by the Authority, or if the Central Government has prescribed that transfers to a particular country or sector are permissible, or if the Authority approves a particular transfer or set of transfers as permissible due to a situation of necessity.","Personal_Data_Protection_Bill,2018.pdf",389
199,What are the restrictions on cross-border transfer of sensitive personal data?,"Sensitive personal data can only be transferred outside India in certain circumstances, such as for prompt action in emergency services or health services, or to a country or sector that has been prescribed by the Central Government as having an adequate level of protection.","Personal_Data_Protection_Bill,2018.pdf",275
200,"What is the purpose of Chapter IX of the Act, and what are the exemptions provided under this chapter?","Chapter IX of the Act deals with exemptions, and it provides exemptions for processing of personal data in the interests of the security of the State, prevention, detection, investigation and prosecution of contraventions of law, and other purposes such as research, archiving, or statistical purposes.","Personal_Data_Protection_Bill,2018.pdf",302
201,"What are the conditions for processing personal data for research, archiving, or statistical purposes, and what provisions of the Act are exempted for such processing?","Processing of personal data for research, archiving, or statistical purposes may be exempted from certain provisions of the Act, subject to conditions such as compliance with the provisions of this Act will disproportionately divert resources from the purpose, the purposes of processing cannot be achieved if the personal data is anonymised, and the data fiduciary has carried out de-identification meeting the standard contained in any code of practice under section 61.","Personal_Data_Protection_Bill,2018.pdf",472
202,"What is the purpose of section 46 of the Act, and what provisions of the Act are exempted for personal or domestic purposes?","Section 46 of the Act deals with exemptions for personal or domestic purposes, and it provides exemptions from certain provisions of the Act for personal data processed by a natural person in the course of a purely personal or domestic purpose.","Personal_Data_Protection_Bill,2018.pdf",244
203,"What is the purpose of section 47 of the Act, and what provisions of the Act are exempted for journalistic purposes?","Section 47 of the Act deals with exemptions for journalistic purposes, and it provides exemptions from certain provisions of the Act for processing of personal data necessary for or relevant to a journalistic purpose.","Personal_Data_Protection_Bill,2018.pdf",217
