,Unnamed: 0,question,answer,source,length
197,197,"What is a payment instruction, and how is it used in payment systems?","A payment instruction is any instrument, authorization or order in any form, including electronic means, to effect a payment. This can be used by a person to instruct a system participant to debit or credit an account, or by a system participant to another system participant to effect a payment.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,296
198,198,"What is systemic risk, and how is it managed under the Payment and Settlement Systems Act, 2007?","Systemic risk is the risk arising from the inability of a system participant to meet its payment obligations under the payment system as and when they become due, or any disruption in the system that may cause other participants to fail to meet their obligations when due. The Reserve Bank of India has the power to manage systemic risk by taking measures such as calling for returns, documents or other information, and carrying out audits and inspections.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,457
199,199,"What is the role of the Central Government under the Payment and Settlement Systems Act, 2007?","The Central Government has the power to appoint different dates for the commencement of different provisions of the Act, and to make notifications in the Official Gazette. It also has the power to amend the Act and to make regulations under the Act.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,249
200,200,"What are the penalties for offenses under the Payment and Settlement Systems Act, 2007?","The Act provides for penalties for offenses such as failure to comply with the directions of the Reserve Bank of India, failure to maintain confidentiality of documents and information, and failure to settle payment obligations. The penalties can include fines, imprisonment, or both.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,284
201,201,"What is the overriding effect of the Payment and Settlement Systems Act, 2007?",The Act has an overriding effect on any other law or agreement that is inconsistent with its provisions. This means that the Act takes precedence over any other law or agreement that may be applicable to payment systems in India.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,229
202,202,What is the definition of a trade repository according to the Act?,"A trade repository means a person who is engaged in the business of collecting, collating, storing, maintaining, processing or disseminating electronic records or data relating to derivatives or financial transactions, as may be specified by the Reserve Bank from time to time.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,277
203,203,Who is the designated authority for the regulation and supervision of payment systems under this Act?,The Reserve Bank shall be the designated authority for the regulation and supervision of payment systems under this Act.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,120
204,204,What is the composition of the Board for Regulation and Supervision of Payment and Settlement Systems?,"The Board shall consist of the Governor, Reserve Bank, who shall be the Chairperson of the Board, Deputy Governors, Reserve Bank, out of whom the Deputy Governor who is in-charge of the Payment and Settlement Systems, shall be the Vice-Chairperson of the Board, and not exceeding three Directors from the Central Board of the Reserve Bank of India to be nominated by the Governor, Reserve Bank.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,394
205,205,Can a person operate a payment system without authorization from the Reserve Bank?,"No, no person, other than the Reserve Bank, shall commence or operate a payment system except under and in accordance with an authorization issued by the Reserve Bank under the provisions of this Act.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,200
206,206,What are the considerations that the Reserve Bank shall take into account while issuing an authorization for operating a payment system?,"The Reserve Bank shall take into account the need for the proposed payment system or the services proposed to be undertaken by it, the technical standards or the design of the proposed payment system, the terms and conditions of operation of the proposed payment system including any security procedure, the manner in which transfer of funds may be effected within the payment system, and other factors.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,403
207,207,What is the procedure for appealing against the refusal of an application for authorization or the revocation of an authorization?,"Any applicant for authorization whose application for the operation of the payment system is refused or a system provider who is aggrieved by an order of revocation may, within thirty days from the date on which the order is communicated to him, appeal to the Central Government.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,279
208,208,What are the powers of the Reserve Bank in relation to the regulation and supervision of payment systems?,"The Reserve Bank may, from time to time, prescribe the format of payment instructions and the size and shape of such instructions, the timings to be maintained by payment systems, the manner of transfer of funds within the payment system, and other standards to be complied with by payment systems.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,298
209,209,Can the Reserve Bank revoke an authorization issued to a system provider?,"Yes, the Reserve Bank may, by order, revoke the authorization given to a system provider under this Act if the system provider contravenes any provisions of this Act, or does not comply with the regulations, or fails to comply with the orders or directions issued by the designated authority, or operates the payment system contrary to the conditions subject to which the authorization was issued.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,397
210,210,What is the effect of the revocation of an authorization on the operation of a payment system?,"The order of revocation issued under sub-section (1) shall include necessary provisions to protect and safeguard the interests of persons affected by such order of revocation, and the system provider shall inform the Reserve Bank of its insolvency or dissolution or winding up and the Reserve Bank shall take such steps as deemed necessary to revoke the authorization issued to such system provider to operate the payment system.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,429
211,211,What is the final authority for deciding an appeal against the refusal of an application for authorization or the revocation of an authorization?,The decision of the Central Government on the appeal under sub-section (1) shall be final.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,90
212,212,What are the conditions that a system provider must comply with in order to operate a payment system under this Act?,"Every system provider shall operate the payment system in accordance with the provisions of this Act, the regulations, the contract governing the relationship among the system participants, the rules and regulations which deal with the operation of the payment system and the conditions subject to which the authorization is issued, and the directions given by the Reserve Bank from time to time.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,396
213,213,What must a system provider disclose to existing or potential system participants?,"Every system provider shall disclose to the existing or potential system participants, the terms and conditions including the charges and the limitations of liability under the payment system, supply them with copies of the rules and regulations governing the operation of the payment system, netting arrangements and other relevant documents.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,343
214,214,Can the Reserve Bank permit a system provider to make changes to a payment system without giving notice to the system participants?,"Yes, the Reserve Bank may permit the system provider to make any changes in a payment system without giving notice to the system participants under clause (b) or requiring the system provider to give notice for a period longer than thirty days, if it is in the interest of monetary policy of the country or in public interest.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,326
215,215,What power does the Reserve Bank have to call for information or documents from a system provider?,"The Reserve Bank may call for from any system provider such returns or documents as it may require or other information in regard to the operation of his payment system at such intervals, in such form and in such manner, as the Reserve Bank may require from time to time or as may be prescribed.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,295
216,216,Can the Reserve Bank disclose any document or information obtained by it under sections 12 to 14 to any person?,"Yes, the Reserve Bank may disclose any document or information obtained by it under sections 12 to 14 to any person to whom the disclosure of such document or information is considered necessary for protecting the integrity, effectiveness or security of the payment system, or in the interest of banking or monetary policy or the operation of the payment systems generally or in the public interest.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,399
217,217,What is the duty of a system provider with respect to maintaining confidentiality of documents and information ?,"A system provider shall not disclose to any other person the existence or contents of any document or part thereof or other information given to him by a system participant, except where such disclosure is required under the provisions of this Act or the disclosure is made with the express or implied consent of the system participant concerned or where such disclosure is in obedience to the orders passed by a court of competent jurisdiction or a statutory authority in exercise of the powers conferred by a statute.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,519
218,218,Can the Reserve Bank issue directions to a payment system or system participant if it is of the opinion that there is a systemic risk?,"Yes, the Reserve Bank may issue directions in writing to such payment system or system participant requiring it, within such time as the Reserve Bank may specify, to cease and desist from engaging in the act, omission or course of conduct or to ensure the system participants to cease and desist from the act, omission or course of conduct.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,340
219,219,What power does the Reserve Bank have to enter and inspect premises where a payment system is being operated?,"Any officer of the Reserve Bank duly authorised by it in writing in this behalf, may for ensuring compliance with the provisions of this Act or any regulations, enter any premises where a payment system is being operated and may inspect any equipment, including any computer system or other documents situated at such premises and call upon any employee of such system provider or participant thereof or any other person working in such premises to furnish such information or documents as may be required by such officer.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,522
220,220,What is the duty of every person to whom a direction has been issued by the Reserve Bank under this Act?,Every person to whom a direction has been issued by the Reserve Bank under this Act shall comply with such direction without any delay and a report of compliance shall be furnished to the Reserve Bank within the time allowed by it.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,231
221,221,Can the Reserve Bank lay down policies relating to the regulation of payment systems?,"Yes, the Reserve Bank may, if it is satisfied that for the purpose of enabling it to regulate the payment systems or in the interest of management or operation of any of the payment systems or in public interest, it is necessary so to do, lay down policies relating to the regulation of payment systems including electronic, non-electronic, domestic and international payment systems affecting domestic transactions and give such directions in writing as it may consider necessary to system providers or the system participants or any other person either generally or to any such agency.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,587
222,222,What is the role of the Reserve Bank in issuing authorization to a payment system?,"The Reserve Bank may approve a gross or netting procedure while issuing authorization to a payment system under section 7, or under any other provisions of the Act.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,164
223,223,What happens to the settlement of a payment system in case of insolvency or dissolution of a system participant?,"Notwithstanding anything contained in any other law for the time being in force, an order of a court, tribunal, or authority declaring a system participant as insolvent or dissolved shall not affect any settlement that has become final and irrevocable prior to such order or immediately thereafter.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,298
224,224,What is the role of a central counterparty in a payment system?,"A central counterparty is a system provider who, by way of novation, interposes between system participants in transactions admitted for settlement, thereby becoming the buyer to every seller and the seller to every buyer, for the purpose of effecting settlement of their transactions.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,285
225,225,How does the Reserve Bank protect funds collected from customers of designated payment systems?,"The Reserve Bank may require system providers of designated payment systems to deposit and keep deposited in a separate account or maintain liquid assets in a specified manner and form, an amount equal to a percentage of the amounts collected from customers and remaining outstanding.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,284
226,226,What is the purpose of creating a panel of system participants to decide disputes in a payment system?,The purpose of creating a panel of system participants is to decide disputes between system participants in respect of any matter connected with the operation of the payment system.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,181
227,227,What happens to the balance held in a separate account or liquid assets maintained by a system provider of a designated payment system?,The balance held in the account or liquid assets shall not be utilized for any purpose other than for discharging liabilities arising on account of the usage of the payment service by customers or for repaying to customers or for such other purpose as may be specified by the Reserve Bank.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,289
228,228,What is the first and paramount charge on the balance held in a separate account or liquid assets maintained by a system provider of a designated payment system?,The first and paramount charge on the balance held in the account or liquid assets shall be the amounts due to customers who are entitled to receive payment under sub-section (2) of section 23A.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,194
229,229,How are disputes between system participants or between system providers and system participants resolved?,Disputes between system participants or between system providers and system participants are resolved through a panel of system participants or by referring the dispute to the Reserve Bank.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,189
230,230,What is the role of the Reserve Bank in resolving disputes between system participants or between system providers and system participants?,The Reserve Bank resolves disputes between system participants or between system providers and system participants that are not resolved by the panel of system participants or where a system participant is not satisfied with the decision of the panel.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,251
231,231,What is the definition of a designated payment system?,"A designated payment system means a payment system or a class of payment system, as may be specified by the Reserve Bank from time to time, engaged in collection of funds from their customers for rendering payment service.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,222
232,232,What is the provision for taking cognizance of an offence punishable under this Act?,No court shall take cognizance of an offence punishable under this Act except upon a complaint in writing made by an officer of the Reserve Bank generally or specially authorised by it in writing in this behalf.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,211
233,233,What is the provision for the application of fine imposed under this Act?,"A court imposing any fine under this Act may direct that the whole or any part thereof shall be applied in, or towards payment of, the costs of the proceedings.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,160
234,234,What is the power of the Reserve Bank to impose fines under this Act?,"The Reserve Bank may impose on the person contravening or committing default a penalty not exceeding five lakh rupees or twice the amount involved in such contravention or default where such amount is quantifiable, whichever is more.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,233
235,235,What is the procedure for imposing penalty under section 30 of this Act?,The Reserve Bank shall serve a notice on the defaulter requiring him to show cause why the amount specified in the notice should not be imposed as a penalty and a reasonable opportunity of being heard shall also be given to such defaulter.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,239
236,236,What is the provision for the recovery of penalty imposed under this Act?,"The penalty imposed on the defaulter by the Reserve Bank under section 30 may be recovered by issuing a notice to any person from whom any amount is due to the defaulter, by requiring such person to deduct from the amount payable by him to the defaulter, the amount payable to the Reserve Bank by way of penalty and pay to the Reserve Bank.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,340
237,237,What is the provision for compounding of offences under this Act?,"Any offence punishable under this Act for any contravention, not being an offence punishable with imprisonment only, or with imprisonment and also with fine, may, on receipt of an application from the person committing such contravention, be compounded by an officer of the Reserve Bank duly authorised by it in this behalf.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,324
238,238,What is the provision for the overriding effect of this Act?,The provisions of this Act shall have effect notwithstanding anything inconsistent therewith contained in any other law for the time being in force.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,148
239,239,What is the provision for the mode of recovery of penalty under this Act?,"The penalty imposed on the defaulter by the Reserve Bank under section 30 may be recovered by issuing a notice to any person from whom any amount is due to the defaulter, by requiring such person to deduct from the amount payable by him to the defaulter, the amount payable to the Reserve Bank by way of penalty and pay to the Reserve Bank.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,340
240,240,What is the provision for the liability of a person discharging any liability to the defaulter after receipt of a notice under section 33?,"Any person discharging any liability to the defaulter after the receipt of a notice under section 33 shall be personally liable to the Reserve Bank to the extent of his own liability to the defaulter so discharged or to the extent of the penalty imposed on the defaulter by the Reserve Bank, whichever is less.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,310
241,241,What is the provision for the non-applicability of this Act to stock exchanges or clearing corporations of stock exchanges?,Nothing contained in this Act shall apply to stock exchanges or the clearing corporations of the stock exchanges.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,113
242,242,What does the expression 'designated trade repository' mean for the purposes of section 35?,"The expression 'designated trade repository' shall mean a trade repository or a class of trade repositories, as may be specified by the Reserve Bank from time to time.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,167
243,243,Who is deemed to be a public servant within the meaning of section 21 of the Indian Penal Code?,Every officer of the Reserve Bank who has been entrusted with any power under this Act shall be deemed to be a public servant within the meaning of section 21 of the Indian Penal Code.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,184
244,244,"What is the protection provided to the Central Government, the Reserve Bank, or any officer thereof for any damage caused or likely to be caused by anything done in good faith?","No suit or other legal proceedings shall lie against the Central Government, the Reserve Bank, or any officer thereof for any damage caused or likely to be caused by anything which is in good faith done or intended to be done in pursuance of this Act, any regulations, order or direction made or given thereunder.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,313
245,245,What power does the Central Government have to remove difficulties in giving effect to the provisions of this Act?,"The Central Government may, by order published in the Official Gazette, make such provisions as appear to it to be necessary or expedient for removing the difficulty, provided that no order shall be made under this section after the expiry of a period of two years from the commencement of this Act.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,299
246,246,What is the power of the Reserve Bank to make regulations to carry out the provisions of this Act?,"The Reserve Bank may, by notification, make regulations consistent with this Act to carry out the provisions of this Act, which may provide for all or any of the matters specified in section 38(2).",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,197
247,247,What matters may be provided for in the regulations made by the Reserve Bank under section 38?,"The regulations may provide for all or any of the following matters, namely: the powers and functions of the Committee, the form and manner of application for authorisation, the form of authorisation, the format of payment instructions, the intervals at which and the form and manner in which information or returns shall be furnished, and such other matters as are required to be, or may be, prescribed.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,404
248,248,When does a regulation made under section 38 come into effect?,Any regulation made under this section shall have effect from such earlier or later date (not earlier than the date of commencement of this Act) as may be specified in the regulation.,67-the-payment-and-settlement-systems-act-200712092020034236.pdf,183
249,249,What happens to a regulation made by the Reserve Bank after it is forwarded to the Central Government?,"Every regulation shall, as soon as may be after it is made by the Reserve Bank, be forwarded to the Central Government and that Central Government shall cause a copy of the same to be laid before each House of Parliament, while it is in session, for a total period of thirty days.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,280
250,250,Can both Houses of Parliament modify or annul a regulation made by the Reserve Bank?,"Yes, if, before the expiry of the session immediately following the session or the successive sessions aforesaid, both Houses agree in making any modification in the regulation, or both Houses agree that the regulation should not be made, the regulation shall, thereafter, have effect only in such modified form or be of no effect, as the case may be.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,351
251,251,Does the modification or annulment of a regulation affect the validity of anything previously done under that regulation?,"No, any such modification or annulment shall be without prejudice to the validity of anything previously done under that regulation.",67-the-payment-and-settlement-systems-act-200712092020034236.pdf,132
252,252,What is the purpose of the Master Direction on Digital Payment Security Controls?,The Master Direction provides necessary guidelines for regulated entities to set up a robust governance structure and implement common minimum standards of security controls for digital payment products and services.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,216
253,253,"What is the scope of the Reserve Bank of India (Digital Payment Security Controls) Directions, 2021?","The directions shall apply to Scheduled Commercial Banks (excluding Regional Rural Banks), Small Finance Banks, Payments Banks, and Credit card issuing NBFCs.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,158
254,254,What is the responsibility of the Board and Senior Management of Regulated Entities (REs) in implementing the policy for digital payment products and services?,"The Board and Senior Management shall be responsible for implementation of the policy, which shall be reviewed periodically, at least on a yearly basis.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,152
255,255,What are the key aspects that the policy document for digital payment products and services should address?,"The policy document should address the mechanics, clear definition of starting point, critical intermittent stages/points and end point in the digital payment cycle, security aspects, validations till the digital payment is settled, clear pictorial representation of digital path and exception handling.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,303
256,256,What is the requirement for external assessment of the entire process of digital payment products and services?,"The need for an external assessment of the entire process including the logic, build and security aspects of the application(s) supporting the digital product should be clearly articulated.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,189
257,257,What is the responsibility of Regulated Entities (REs) in managing the specific risks associated with digital payment products and services?,"REs shall incorporate appropriate processes into their governance and risk management programs for identifying, analysing, monitoring and managing the specific risks, including compliance risk and fraud risk, associated with the portfolio of digital payment products and services on a continual basis and in a holistic manner.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,326
258,258,What is the requirement for risk assessments by Regulated Entities (REs) for digital payment products and associated processes and services?,"REs shall conduct risk assessments with regard to the safety and security of digital payment products and associated processes and services as well as suitability and appropriateness of the same vis-à-vis the target users, both prior to establishing the service(s) and regularly thereafter.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,290
259,259,What are the key factors that should be considered by Regulated Entities (REs) while conducting risk assessments for digital payment products and services?,"The risk assessment should take into account the technology stack and solutions used, known vulnerabilities at each of the touchpoints of the digital product and the remedial action taken by the entity, dependence on third party service providers and oversight over such providers, etc.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,286
260,260,"What is the requirement for data storage, security and privacy protection for digital payment products and services?","Data storage, security and privacy protection should be as per extant laws/instructions.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,88
261,261,"What is the timeline for implementation of the Reserve Bank of India (Digital Payment Security Controls) Directions, 2021?",The directions shall come into effect six months from the day they are placed on the official website of the Reserve Bank of India (RBI).,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,137
262,262,What types of risks should REs assess and address in their digital payment systems?,"REs should assess and address operational risk including fraud risk, business continuity and service availability, compliance with extant cyber security requirements, and compatibility aspects.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,193
263,263,What is the purpose of the internal Risk and Control Self-Assessment (RCSA) exercise?,The purpose of the RCSA exercise is to cover the risks (inherent) & controls vis-à-vis the probability and impact of threats to arrive at residual risk.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,152
264,264,What should REs evaluate when choosing technology platforms and application architecture?,"REs should evaluate the risks associated with the chosen technology platforms and application architecture, both on the server and client side.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,143
265,265,What should REs ensure when offering digital payment products and services?,"REs should ensure that adequate safeguards are in place to protect integrity of data, customer confidentiality and security of data.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,132
266,266,What should REs do to ensure the security of their digital payment applications?,"REs should implement multi-tier application architecture, segregating application, database and presentation layer, and follow a ‘secure by design’ approach in the development of digital payment products and services.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,217
267,267,What should REs do to ensure the continuity of services in case a third-party vendor defaults or is unable to provide services?,REs should have an escrow arrangement for the source code for ensuring continuity of services in case the vendor defaults or is unable to provide services.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,155
268,268,What should REs do to ensure the security of their digital payment applications before launch?,"REs should conduct security testing including review of source code, Vulnerability Assessment (VA) and Penetration Testing (PT) of their digital payment applications.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,166
269,269,What should REs do to monitor for non-genuine/unauthorised/malicious applications?,REs should institute a mechanism to actively monitor for the non-genuine/unauthorised/malicious applications (with similar name/features) on popular app-stores and the Web and respond accordingly to bring them down.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,215
270,270,What should REs refer to for application security and other protection measures?,"REs should refer to standards such as OWASP-MASVS, OWASP-ASVS and other relevant OWASP standards, security and data protection guidelines in ISO 12812, threat catalogues and guides developed by NIST.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,199
271,271,What should REs do to protect customer information when transmitted via SMS/e-mails?,REs should redact/mask customer information such as account numbers/card numbers/other sensitive information when transmitted via SMS/e-mails.,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,142
272,272,What type of authentication should REs implement for payments through electronic modes and fund transfers?,"Multi-factor authentication, with at least one dynamic or non-replicable methodology, such as One Time Password, mobile devices, biometric, PKI, hardware tokens, or EMV chip card with server-side verification.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,209
273,273,What is the purpose of adaptive authentication in digital payment systems?,"To select the right authentication factors depending on risk assessment, user risk profile, and behavior, in order to enhance confidence in digital payment and combat various cyber-attack mechanisms.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,199
274,274,What factors should REs consider when implementing authentication methodologies?,"REs should consider the type of customer, customer transactional requirements, sensitivity of customer information, and volume and value of transactions involved, as well as customer acceptance, ease of use, reliable performance, scalability, and interoperability with other systems.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,283
275,275,How should REs apply multi-factor authentication and alerts for online payment transactions?,"REs should apply multi-factor authentication and alerts, such as SMS or email, for all payment transactions, including debits and credits, creation of new account linkages, changing account details, or revision to fund transfer limits, taking into account customer preferences for additional online protection.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,310
276,276,What measures should REs take to minimize exposure to middleman attacks?,"REs should implement measures to secure data in transit and ensure transactions are authenticated only by genuine sources, such as encryption protocols and secure session management.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,182
277,277,How should REs handle failed log-in or authentication attempts?,"REs should set a maximum number of failed log-in or authentication attempts after which access to the digital payment product or service is blocked, and have a secure procedure in place to re-activate access, while notifying the customer of failed attempts.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,257
278,278,What parameters should REs use to identify suspicious transactional behavior?,"REs should use parameters such as transaction velocity, high-risk merchant category codes, counterfeit card parameters, new account parameters, time zones, geo-locations, IP address origin, behavioral biometrics, and transactions to mobile wallets or mobile numbers with registered vishing fraud.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,296
279,279,What skills and areas of expertise should staff in the fraud control function possess?,"Staff should be educated about frauds and trained in skills such as fraud control tools and their usage, investigative techniques and procedures, cardholder and merchant education techniques, scheme/card operating regulations, data processing and analysis, and liaising with law enforcement agencies.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,300
280,280,What measures should REs take to maintain updated contact details of stakeholders for incident response?,"REs should maintain updated contact details of service providers, intermediaries, external agencies, and other stakeholders, and put in place a mechanism to update and verify such contact details, as well as formulate specific SOPs to handle incidents related to the payment ecosystem.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,285
281,281,What reconciliation framework should REs put in place for digital payment transactions?,"REs should put in place a real-time or near-real-time reconciliation framework for all digital payment transactions between RE and stakeholders, to detect and prevent suspicious transactions, and monitor the implementation and effectiveness of such a framework.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,261
282,282,What should REs do to ensure secure and safe usage guidelines for digital payment applications?,"REs should update the digital payment application with secure and safe usage guidelines in the first instance and after each update, and ensure that customers are aware of the process and procedure for lodging consumer grievances.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,230
283,283,How should REs handle customer grievances related to digital payments?,"REs should have a clear process and procedure for lodging consumer grievances, including forms, contact information, and a mechanism for keeping this information periodically updated, and provide an option for registering a grievance on the application.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,253
284,284,What should REs do to educate customers about the security of their devices accessing digital payment products and services?,"REs should educate customers about the need to maintain the physical and logical security of their devices, including recommending secure and regular installation of operating system and application updates, downloading applications only from authorized sources, and having anti-malware/anti-virus applications on devices.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,322
285,285,What information should REs provide to customers before they subscribe to digital payment products and services?,"REs should provide information about the risks, benefits, and liabilities of using digital payment products and services, including customer rights, obligations, and responsibilities, and any problems that may arise from service unavailability, processing errors, and security breaches.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,286
286,286,How should REs handle new operating features or functions introduced to online delivery channels?,"REs should provide clear and effective communication followed by sufficient instructions to properly utilize new features, particularly those relating to security, integrity, and authentication.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,194
287,287,What should REs do to create public awareness about threats and attacks against consumers while using digital payment products?,"REs should continuously create public awareness on the types of threats and attacks used against consumers, including phishing, vishing, reverse-phishing, and remote access of mobile devices, and educate customers on precautionary measures to safeguard against these threats.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,275
288,288,How should REs provide digital payment products and services to customers?,"REs should provide digital payment products and services only at the customer's option based on specific written or authenticated electronic requisition, along with a positive acknowledgement of the terms and conditions.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,220
289,289,What mechanism should REs provide on their mobile and internet banking applications for customers to report fraudulent transactions?,"REs should provide a mechanism for customers to identify/mark a transaction as fraudulent with necessary authentication, and enable seamless and immediate notification to the RE, which may endeavour to build the capability for seamless/instant reporting of fraudulent transactions to the corresponding beneficiary/counterparty's RE.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,332
290,290,What additional security controls should REs implement for internet banking websites?,"REs should implement additional levels of authentication, such as adaptive authentication, strong CAPTCHA with server-side validation, and take measures to prevent DNS cache poisoning attacks and secure handling of cookies, and provide a virtual keyboard option.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,262
291,291,What controls should REs implement for mobile payments applications?,"REs should implement controls such as device policy enforcement, secure download/install, deactivating older application versions, storage of customer data, device or application encryption, minimal data collection/app permissions, application sandbox/containerization, and code obfuscation.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,291
292,292,What measures should REs take to ensure device binding of mobile applications?,"REs should implement device binding through a combination of hardware, software, and service information. If multiple devices are allowed to be registered, the user must be notified of every new device registration, and REs must maintain a record of all registered devices, providing the user with a facility to disable a registered device.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,340
293,293,What alternatives to SMS-based OTP authentication mechanisms may REs consider implementing?,"REs may consider implementing alternatives to SMS-based OTP authentication mechanisms, considering that the additional factor of authentication and mobile application may reside on the same mobile device in the case of mobile banking and mobile payments.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,254
294,294,What measures should mobile applications take to secure user authentication information?,"Mobile applications should not store or retain sensitive personal or consumer authentication information such as user IDs, passwords, keys, hashes, or hard-coded references on the device. The application should securely wipe any sensitive customer information from memory when the customer/user exits the application.",MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,317
295,295,What security measures should REs take to secure their card payment infrastructure?,Acquirers should secure their card payment infrastructure through measures such as Unique Key Per Terminal (UKPT) or Derived Unique Key Per Transaction (DUKPT)/Terminal Line Encryption (TLE).,MD7493544C24B5FC47D0AB12798C61CDB56F.pdf,191
