,question,answer,source
72,What type of consultation procedure needs to be carried out for an ancillary medicinal substance that has already been consulted under the medical device Directive 93/42/EEC?,"According to Article 52(9) MDR, notified bodies are required to request a consultation with a competent authority for medicinal products as part of the conformity assessment under the MDR for ancillary medicinal substances already consulted under the medical device Directives 93/42/EEC or 90/385/EEC.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
73,What type of consultation procedure needs to be carried out for a companion diagnostic?,"A companion diagnostic is an in vitro diagnostic test that supports the safe and effective use of a specific medicinal product, by identifying patients that are suitable or unsuitable for treatment. The consultation procedure for a companion diagnostic is defined in Article 2(7) of Regulation (EU) 2017/746.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
74,How can I include medical device administrative information in the packaging of a medicinal product?,"You can provide a separate, additional leaflet within the packaging of the medicinal product, attach the leaflet containing the medical device administrative information to the package leaflet of the medicinal product, or affix a fold out vignette/sticker containing device-specific information directly onto the device itself or on the packaging of each device.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
75,What are the requirements for the leaflet containing the medical device administrative information?,"The leaflet containing the medical device administrative information should be clearly differentiated from the package leaflet of the medicinal product, and the product information annexes of the medicinal product should not include any administrative information of the device as laid down by MDR.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
76,What are the requirements for the fold out vignette/sticker containing device-specific information?,"The information on the fold out vignette should be indelible, easily legible, and clearly comprehensible to the intended user or patient, and the adhesive should be functional throughout the life cycle of the product.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
77,Can I submit a variation to the marketing authorization to replace the previous evidence of conformity with a new EU certificate or declaration of conformity in compliance with the MDR?,"No, for marketing authorisations of medicinal products co-packaged with a medical device submitted or approved prior to 26 May 2021, and where the dossier contains a certificate of conformity or declaration of conformity, it is not necessary to submit a variation to the marketing authorization to replace the previous evidence of conformity with a new EU certificate or declaration of conformity in compliance with the MDR.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
78,What is the transition phase for medical devices that did not require a notified body assessment under the Medical Device Directive (MDD) but will now require a notified body assessment under the MDR?,"There is a transition phase up until 31 December 2028 where the device may continue to be placed on the market if it continues to comply with the MDD, provided there are no significant changes in the design and intended purpose of the medical device and other conditions set out in Article 120(3c) of the MDR are met.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
79,What is the purpose of a companion diagnostic under Regulation (EU) 2017/746?,"To identify, before and/or during treatment, patients who are most likely to benefit from the corresponding medicinal product, or to identify, before and/or during treatment, patients likely to be at increased risk of serious adverse reactions as a result of treatment with the corresponding medicinal product.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
80,What is the process for determining whether an in vitro diagnostic test fulfils the definition of a companion diagnostic?,Annex II of MDCG 2020-16 provides a flowchart to determine whether an in vitro diagnostic test fulfils the definition of a companion diagnostic under Regulation (EU) 2017/746.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
81,What are the requirements for conformity assessment of companion diagnostics under Regulation (EU) 2017/746?,"Companion diagnostics are subject to conformity assessment by a notified body, as well as to a consultation of a medicinal products authority regarding the suitability of the device in relation to the medicinal product concerned.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
82,When must a notified body seek a scientific opinion from EMA on the suitability of a companion diagnostic to a medicinal product?,"Before it can issue a EU certificate, the notified body must seek a scientific opinion from EMA on the suitability of the companion diagnostic to the medicinal product concerned if the medicinal product falls exclusively within the scope of the centralised procedure for the authorisation of medicines, or if the medicinal product is already authorised through the centralised procedure, or if a marketing authorisation application for the medicinal product has been submitted through the centralised procedure.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
83,What are the options for a notified body to seek an opinion on the suitability of a companion diagnostic to a medicinal product in instances where EMA is not required?,"In other instances, the notified body can seek the opinion either from a national competent authority for medicinal products or from the EMA.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
84,Is there any procedural guidance available on the consultation procedure for notified bodies seeking a scientific opinion from EMA?,"Yes, a procedural guidance is available on the consultation procedure whereby notified bodies seek a scientific opinion from EMA, accompanied by a question-and-answer (Q&A) document on practical arrangements and a frequently asked questions on medicinal products development and assessment involving companion diagnostic (CDx).",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
85,What is the purpose of the question-and-answer (Q&A) document on practical arrangements for notified bodies seeking a scientific opinion from EMA?,The Q&A document provides guidance on practical arrangements for notified bodies seeking a scientific opinion from EMA on the suitability of a companion diagnostic to a medicinal product.,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
86,What is the purpose of the frequently asked questions on medicinal products development and assessment involving companion diagnostic (CDx)?,The frequently asked questions provide guidance on medicinal products development and assessment involving companion diagnostic (CDx).,questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
87,What is the relationship between the Regulations on medical devices and in vitro diagnostic medical devices (Regulations (EU) 2017/745 and (EU) 2017/746) and the implementation of companion diagnostics?,"The Regulations on medical devices and in vitro diagnostic medical devices (Regulations (EU) 2017/745 and (EU) 2017/746) provide the framework for the implementation of companion diagnostics, including the requirements for conformity assessment and consultation with medicinal products authorities.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
88,Who is responsible for ensuring compliance with the Regulations on medical devices and in vitro diagnostic medical devices (Regulations (EU) 2017/745 and (EU) 2017/746) for companion diagnostics?,"Applicants, marketing authorisation holders of medicinal products, and notified bodies are responsible for ensuring compliance with the Regulations on medical devices and in vitro diagnostic medical devices (Regulations (EU) 2017/745 and (EU) 2017/746) for companion diagnostics.",questions-answers-implementation-medical-devices-vitro-diagnostic-medical-devices-regulations-eu-2017-745-eu-2017-746_en.pdf
89,"What is the main purpose of Regulation (EU) No 536/2014, and what does it aim to repeal?","The main purpose of Regulation (EU) No 536/2014 is to ensure the rights, safety, dignity, and well-being of subjects in clinical trials, and to repeal Directive 2001/20/EC.",CELEX_32014R0536_EN_TXT.pdf
90,"What is the definition of a clinical trial according to the regulation, and how does it differ from a clinical study?","According to the regulation, a clinical trial is a specific type of clinical study that is defined by specific criteria. A clinical study is a broader concept that includes clinical trials and other types of studies.",CELEX_32014R0536_EN_TXT.pdf
91,"What is the purpose of the single submission portal for clinical trial applications, and how does it benefit sponsors and investigators?","The single submission portal allows sponsors and investigators to submit a single application dossier to all concerned Member States, simplifying the submission process and reducing administrative burdens.",CELEX_32014R0536_EN_TXT.pdf
92,"What are the advantages of using a regulation instead of a directive for clinical trials, and how does it benefit Member States?","A regulation provides a single set of rules that apply directly to all Member States, reducing differences in approach and administrative burdens. This benefits Member States by ensuring consistency and simplicity in the regulation of clinical trials.",CELEX_32014R0536_EN_TXT.pdf
93,"What is the purpose of cooperation between Member States in assessing clinical trial applications, and what aspects are excluded from this cooperation?","The purpose of cooperation between Member States is to assess clinical trial applications efficiently and effectively. Aspects of an intrinsically national nature, such as informed consent, are excluded from this cooperation.",CELEX_32014R0536_EN_TXT.pdf
94,"What is the purpose of the timelines for assessing clinical trial applications, and how do they balance patient safety and public health with the need for quick access to new treatments?","The timelines for assessing clinical trial applications are designed to balance patient safety and public health with the need for quick access to new treatments. The regulation maintains the concept of tacit authorization to ensure that timelines are adhered to, while also allowing for flexible and efficient assessment procedures.",CELEX_32014R0536_EN_TXT.pdf
95,"What type of clinical trials does the regulation aim to foster, and why are they important?","The regulation aims to foster clinical trials for the development of orphan medicinal products and medicinal products addressed to subjects affected by severe, debilitating, and often life-threatening diseases. These trials are important because they provide hope for patients with rare and ultra-rare diseases.",CELEX_32014R0536_EN_TXT.pdf
96,"What is the importance of a rapid yet in-depth assessment of clinical trial applications, and what type of trials require this type of assessment?","A rapid yet in-depth assessment of clinical trial applications is particularly important for trials concerning medical conditions that are severely debilitating and/or life-threatening and for which therapeutic options are limited or non-existent, such as rare and ultra-rare diseases.",CELEX_32014R0536_EN_TXT.pdf
97,"What type of clinical trials pose a minimal additional risk to subject safety, and what rules apply to these trials?","Clinical trials that pose a minimal additional risk to subject safety are those where the investigational medicinal product is covered by a marketing authorization, or where the product is not used in accordance with the terms of the marketing authorization but is evidence-based and supported by published scientific evidence. These trials are subject to less stringent rules regarding monitoring, requirements for the contents of the master file, and traceability of investigational medicinal products.",CELEX_32014R0536_EN_TXT.pdf
98,What type of evidence can support the safety and efficacy of an investigational medicinal product not used in accordance with the terms of the marketing authorization?,"The published scientific evidence supporting the safety and efficacy of an investigational medicinal product not used in accordance with the terms of the marketing authorization can include high-quality data published in scientific journal articles, as well as national, regional, or institutional treatment protocols, health technology assessment reports, or other appropriate evidence.",CELEX_32014R0536_EN_TXT.pdf
99,What is the OECD Recommendation of 10 December 2012 related to the governance of clinical trials?,"The OECD Recommendation introduced different risk categories for clinical trials, which are compatible with the categories of clinical trials defined in the Regulation, with OECD Categories A and B(1) corresponding to low-intervention clinical trials and OECD Categories B(2) and C corresponding to clinical trials as defined in the Regulation.",CELEX_32014R0536_EN_TXT.pdf
100,What aspects should be taken into account when assessing the relevance of a clinical trial?,"The assessment of the application for a clinical trial should address in particular the anticipated therapeutic and public health benefits, whether the clinical trial has been recommended or imposed by regulatory authorities, and whether surrogate end-points are justified.",CELEX_32014R0536_EN_TXT.pdf
101,What requirements should be considered when selecting subjects for a clinical trial?,"Unless otherwise justified in the protocol, the subjects participating in a clinical trial should represent the population groups that are likely to use the medicinal product investigated in the clinical trial, including aspects such as gender and age groups.",CELEX_32014R0536_EN_TXT.pdf
102,"How should vulnerable groups, such as frail or older people, be protected in clinical trials?","Medicinal products that are likely to be of significant clinical value should be fully and appropriately studied for their effects in these specific groups, including requirements related to their specific characteristics and the protection of the health and well-being of subjects belonging to these groups.",CELEX_32014R0536_EN_TXT.pdf
103,What mechanism should be provided for extending the authorization of a clinical trial to an additional Member State after initial authorization?,"An authorization mechanism should be provided to allow for the extension of a clinical trial to an additional Member State after initial authorization, while avoiding the re-assessment of the application by all the Member States concerned.",CELEX_32014R0536_EN_TXT.pdf
104,How should the assessment of applications for clinical trials be conducted?,"The assessment of applications for the authorization of clinical trials should be conducted on the basis of appropriate expertise, and specific expertise should be considered when assessing clinical trials involving subjects in emergency situations, minors, incapacitated subjects, pregnant and breastfeeding women, and other identified specific population groups.",CELEX_32014R0536_EN_TXT.pdf
105,What are the requirements for informed consent in clinical trials?,"The informed consent of a subject should be in writing, and when the subject is unable to write, it may be recorded through appropriate alternative means, for instance through audio or video recorders.",CELEX_32014R0536_EN_TXT.pdf
106,How should data from clinical trials be submitted and recorded?,"Data from a clinical trial should only be submitted in support of a clinical trial application if that clinical trial has been recorded in a publicly accessible and free of charge database, such as the international clinical trials registry platform of the World Health Organization (WHO ICTRP).",CELEX_32014R0536_EN_TXT.pdf
107,What language requirements should be established for the application dossier of a clinical trial?,"It should be left to Member States to establish the language requirements for the application dossier, but Member States should consider accepting a commonly understood language in the medical field as the language for the documentation not destined for the subject.",CELEX_32014R0536_EN_TXT.pdf
108,"How should incapacitated subjects, minors, pregnant women, and breastfeeding women be protected in clinical trials?","Incapacitated subjects, minors, pregnant women, and breastfeeding women require specific protection measures, and it should be left to Member States to determine the legally designated representatives of incapacitated persons and minors.",CELEX_32014R0536_EN_TXT.pdf
109,What circumstances should the investigator consider when taking into account whether informed consent is given freely in a clinical trial?,"All relevant circumstances which might influence the decision of a potential subject to participate in a clinical trial, particularly whether the potential subject belongs to an economically or socially disadvantaged group or is in a situation of institutional or hierarchical dependency.",CELEX_32014R0536_EN_TXT.pdf
110,Can minors who are capable of forming an opinion and assessing information given to them participate in a clinical trial?,"Yes, minors who are capable of forming an opinion and assessing information given to them can participate in a clinical trial, but national law may require that, in addition to informed consent given by the legally designated representative, a minor must also assent in order to participate in a clinical trial.",CELEX_32014R0536_EN_TXT.pdf
111,Under what circumstances can informed consent be obtained by simplified means for certain clinical trials?,"Informed consent can be obtained by simplified means for certain clinical trials where the methodology of the trial requires that groups of subjects rather than individual subjects are allocated to receive different investigational medicinal products, and the individual subject receives a standard treatment regardless of whether he or she accepts or refuses to participate in the clinical trial or withdraws from it.",CELEX_32014R0536_EN_TXT.pdf
112,What specific provisions should be defined for the protection of pregnant and breastfeeding women participating in clinical trials?,"Specific provisions should be defined for the protection of pregnant and breastfeeding women participating in clinical trials, particularly when the clinical trial does not have the potential to produce results of direct benefit to her or to her embryo, foetus, or child after birth.",CELEX_32014R0536_EN_TXT.pdf
113,"Can individuals performing mandatory military service, persons deprived of liberty, or persons who are reliant on care and accommodated in residential care institutions participate in clinical trials?","Persons performing mandatory military service, persons deprived of liberty, or persons who are reliant on care and accommodated in residential care institutions are in a situation of subordination or factual dependency and may require specific protective measures; member states should be allowed to maintain such additional measures.",CELEX_32014R0536_EN_TXT.pdf
114,Can informed consent be obtained in emergency situations where a patient is unable to give informed consent prior to intervention?,"In certain emergency situations, it is not possible to obtain informed consent prior to intervention; however, the clinical trial should relate directly to the medical condition because of which it is not possible within the therapeutic window to obtain prior informed consent from the subject or from his or her legally designated representative.",CELEX_32014R0536_EN_TXT.pdf
115,What notifications are required to be submitted by the sponsor to the member states regarding the clinical trial?,"The start of the clinical trial, the end of the recruitment of subjects for the clinical trial, and the end of the clinical trial should be notified; the results of the clinical trial should be reported within one year from the end of the clinical trial.",CELEX_32014R0536_EN_TXT.pdf
116,How should serious adverse events be reported in clinical trials?,"The investigator should report to the sponsor all serious adverse events, which should be assessed and reported by the sponsor to the European Medicines Agency, which should then forward the information to the member states for assessment.",CELEX_32014R0536_EN_TXT.pdf
117,Can individuals who have expressed objection to participation in a clinical trial prior to emergency intervention participate in the trial?,"Any previously expressed objection by the patient should be respected; however, if a patient has not expressed an objection prior to emergency intervention, the patient can participate in the trial and informed consent from the subject or from his or her legally designated representative should be sought as soon as possible.",CELEX_32014R0536_EN_TXT.pdf
118,"How should arrangements for the traceability, storage, return, and destruction of investigational medicinal products be handled?","Arrangements for the traceability, storage, return, and destruction of investigational medicinal products should be in place, depending on the nature of the clinical trial; there should also be such arrangements for unauthorized auxiliary medicinal products.",CELEX_32014R0536_EN_TXT.pdf
119,"What is the purpose of recording, handling, and storing information generated in a clinical trial?","To ensure subject rights and safety, the robustness and reliability of the data generated in the clinical trial, accurate reporting and interpretation, effective monitoring by the sponsor, and effective inspection by Member States.",CELEX_32014R0536_EN_TXT.pdf
120,"What is a clinical trial master file, and who should keep it?",A clinical trial master file is a file containing relevant documentation to allow effective supervision. It should be kept by the sponsor and by the investigator to demonstrate compliance with the protocol and with this Regulation.,CELEX_32014R0536_EN_TXT.pdf
121,In what cases may unauthorized auxiliary medicinal products be used in a clinical trial?,In justified cases where there are problems with respect to the availability of authorized auxiliary medicinal products. The price of the authorized auxiliary medicinal product should not be considered as having an effect on the availability of such medicinal products.,CELEX_32014R0536_EN_TXT.pdf
122,What is the distinction between investigational medicinal products and auxiliary medicinal products?,"Investigational medicinal products include the tested product and its reference products, including placebos. Auxiliary medicinal products are medicinal products used in the context of a clinical trial but not as investigational medicinal products, such as medicinal products used for background treatment, challenge agents, rescue medication, or used to assess end-points in a clinical trial.",CELEX_32014R0536_EN_TXT.pdf
123,What rules should be established for the manufacturing and import of investigational and auxiliary medicinal products?,"Rules on the manufacturing and import of both investigational and auxiliary medicinal products should be established to ensure subject safety and the reliability and robustness of data generated in a clinical trial. These rules should reflect the existing rules of good manufacturing practices for products covered by Directive 2001/83/EC, with some flexibility to facilitate the conduct of a clinical trial.",CELEX_32014R0536_EN_TXT.pdf
124,Who is responsible for ensuring that sponsors that are not established in the Union are represented in the Union?,"Sponsors that are not established in the Union should be represented by a legal representative in the Union. However, in view of the divergent approaches of the Member States as regards civil and criminal liability, it is appropriate to leave to each Member State concerned, as regards its territory, the choice as to whether or not to require such a legal representative.",CELEX_32014R0536_EN_TXT.pdf
125,"What is the purpose of the EU database, and what information should it contain?","The EU database is set up and maintained by the Agency, in collaboration with Member States and the Commission, to streamline and facilitate the flow of information between sponsors and Member States as well as between Member States. It should contain all relevant information as regards the clinical trial submitted through the EU portal, and be publicly accessible and searchable.",CELEX_32014R0536_EN_TXT.pdf
126,"What information should be publicly available in the EU database, and what information should not be published?","All clinical trials should be registered in the EU database prior to being started, and the start and end dates of the recruitment of subjects should also be published. No personal data of data subjects participating in a clinical trial should be recorded in the EU database. Information should not be published if it is necessary to protect the right of the individual to private life and the right to the protection of personal data.",CELEX_32014R0536_EN_TXT.pdf
127,When is data included in a clinical study report considered commercially confidential?,"Data included in a clinical study report is not considered commercially confidential once a marketing authorization has been granted, unless specific reasons require that a piece of information should not be published, in order to protect the right of the individual to private life and the right to the protection of personal data.",CELEX_32014R0536_EN_TXT.pdf
128,"What is the purpose of the inspection capacities of Member States, and what should the Commission be able to control?","Member States should be able to conduct inspections and have adequate inspection capacities to ensure compliance with this Regulation. The Commission should be able to control whether Member States correctly supervise compliance with this Regulation, and whether regulatory systems of third countries ensure compliance with the specific provisions of this Regulation and Directive 2001/83/EC concerning clinical trials conducted in third countries.",CELEX_32014R0536_EN_TXT.pdf
129,What should happen to the application for marketing authorization once the marketing authorization has been completed?,The application for marketing authorization should be withdrawn.,CELEX_32014R0536_EN_TXT.pdf
130,"What should be the general principle regarding the confidentiality of clinical trial results, including reasons for temporary halt and early termination?","Clinical trial results, including reasons for temporary halt and early termination, should not be considered confidential.",CELEX_32014R0536_EN_TXT.pdf
131,What should each Member State designate in order to allow for effective and efficient cooperation between Member States?,Each Member State should designate one contact point.,CELEX_32014R0536_EN_TXT.pdf
132,What should be the role of the Commission and the Agency in supporting the authorization procedure for clinical trials?,"The Commission and the Agency should support the good functioning of the authorization procedure, in accordance with this Regulation.",CELEX_32014R0536_EN_TXT.pdf
133,What should be the general principle regarding the levying of fees by Member States for the authorization of clinical trials?,"Member States should be allowed to levy fees, but should not require multiple payments to different bodies involved in the assessment of an application for authorization of a clinical trial.",CELEX_32014R0536_EN_TXT.pdf
134,What should be the purpose of the implementing powers conferred on the Commission in respect of the establishment and modification of rules on cooperation between Member States?,The purpose should be to ensure uniform conditions for the implementation of this Regulation.,CELEX_32014R0536_EN_TXT.pdf
135,What should be the scope of the delegated powers conferred on the Commission in respect of the amendment of Annexes to this Regulation?,"The delegated powers should be limited to the amendment of Annexes I, II, IV, and V to adapt them to technical progress or to take account of international regulatory developments in the field of clinical trials.",CELEX_32014R0536_EN_TXT.pdf
136,"What should be the relationship between this Regulation and national law regarding the use of specific types of human or animal cells or the sale, supply, or use of medicinal products as abortifacients or narcotic substances?","This Regulation should not affect national law prohibiting or restricting the use of any specific type of human or animal cells or the sale, supply, or use of medicinal products as abortifacients or narcotic substances.",CELEX_32014R0536_EN_TXT.pdf
137,What should be the principle regarding the withdrawal of informed consent and its effect on the results of activities already carried out?,"The withdrawal of informed consent should not affect the results of activities already carried out, such as the storage and use of data obtained on the basis of informed consent before withdrawal.",CELEX_32014R0536_EN_TXT.pdf
138,"What should be the purpose of the transitional period provided for in this Regulation, and what should be the fate of Directive 2001/20/EC?","The transitional period should facilitate the transition to the rules set out in this Regulation, and Directive 2001/20/EC should be repealed to ensure that only one set of rules applies to the conduct of clinical trials in the Union.",CELEX_32014R0536_EN_TXT.pdf
139,What are the fundamental rights and principles recognized in the Charter that this Regulation respects?,"Human dignity, the integrity of the person, the rights of the child, respect for private and family life, the protection of personal data, and the freedom of art and science.",CELEX_32014R0536_EN_TXT.pdf
140,What is the role of the European Data Protection Supervisor in relation to this Regulation?,The European Data Protection Supervisor has given an opinion pursuant to Article 28(2) of Regulation (EC) No 45/2001.,CELEX_32014R0536_EN_TXT.pdf
141,"What is the objective of this Regulation, and why is it better achieved at Union level?","The objective is to ensure that clinical trial data are reliable and robust while respecting the rights, safety, dignity, and well-being of subjects. It is better achieved at Union level due to its scale and the need for a unified approach across Member States.",CELEX_32014R0536_EN_TXT.pdf
142,"What is the definition of a clinical study, and what are its objectives?","A clinical study is any investigation in relation to humans intended to discover or verify the clinical, pharmacological, or other pharmacodynamic effects of one or more medicinal products, to identify any adverse reactions to one or more medicinal products, or to study the absorption, distribution, metabolism, and excretion of one or more medicinal products, with the objective of ascertaining the safety and/or efficacy of those medicinal products.",CELEX_32014R0536_EN_TXT.pdf
143,"What is the definition of a clinical trial, and what conditions must it fulfill?","A clinical trial is a clinical study that fulfills any of the following conditions: the assignment of the subject to a particular therapeutic strategy is decided in advance and does not fall within normal clinical practice, the decision to prescribe the investigational medicinal products is taken together with the decision to include the subject in the clinical study, or diagnostic or monitoring procedures in addition to normal clinical practice are applied to the subjects.",CELEX_32014R0536_EN_TXT.pdf
144,"What is the definition of an investigational medicinal product, and what is its purpose?","An investigational medicinal product is a medicinal product which is being tested or used as a reference, including as a placebo, in a clinical trial, with the purpose of discovering or verifying its clinical, pharmacological, or other pharmacodynamic effects.",CELEX_32014R0536_EN_TXT.pdf
145,"What is the definition of a sponsor, and what are its responsibilities?","A sponsor is an individual, company, institution, or organization that takes responsibility for the initiation, management, and financing of the clinical trial.",CELEX_32014R0536_EN_TXT.pdf
146,"What is the definition of informed consent, and what does it entail?","Informed consent is a subject's free and voluntary expression of their willingness to participate in a particular clinical trial, after having been informed of all aspects of the clinical trial that are relevant to their decision to participate.",CELEX_32014R0536_EN_TXT.pdf
147,"What is the definition of good clinical practice, and what are its requirements?","Good clinical practice is a set of detailed ethical and scientific quality requirements for designing, conducting, performing, monitoring, auditing, recording, analyzing, and reporting clinical trials, ensuring that the rights, safety, and well-being of subjects are protected, and that the data generated in the clinical trial are reliable and robust.",CELEX_32014R0536_EN_TXT.pdf
148,"What is the definition of an inspection, and what is its purpose?","An inspection is the act by a competent authority of conducting an official review of documents, facilities, records, quality assurance arrangements, and any other resources that are deemed by the competent authority to be related to the clinical trial, with the purpose of ensuring compliance with the Regulation.",CELEX_32014R0536_EN_TXT.pdf
149,What is the definition of an adverse event in the context of clinical trials?,Any untoward medical occurrence in a subject to whom a medicinal product is administered and which does not necessarily have a causal relationship with this treatment.,CELEX_32014R0536_EN_TXT.pdf
150,What is the definition of a serious adverse event in the context of clinical trials?,"Any untoward medical occurrence that at any dose requires inpatient hospitalisation or prolongation of existing hospitalisation, results in persistent or significant disability or incapacity, results in a congenital anomaly or birth defect, is life-threatening, or results in death.",CELEX_32014R0536_EN_TXT.pdf
151,What is the definition of an unexpected serious adverse reaction in the context of clinical trials?,"A serious adverse reaction, the nature, severity or outcome of which is not consistent with the reference safety information.",CELEX_32014R0536_EN_TXT.pdf
152,What is the purpose of the assessment report in the authorisation procedure for a clinical trial?,"The assessment report is used to assess the application with regard to certain aspects, including compliance with Chapter V, manufacturing and import of investigational medicinal products, labelling requirements, and the completeness and adequacy of the investigator's brochure.",CELEX_32014R0536_EN_TXT.pdf
153,What is the timeline for the reporting Member State to notify the sponsor and other Member States concerned that it is the reporting Member State?,Within six days from the submission of the application dossier.,CELEX_32014R0536_EN_TXT.pdf
154,What is the validation date of the application in the context of clinical trials?,"The date on which the sponsor is notified in accordance with paragraph 3 or 5, or the last day of the respective periods referred to in paragraphs 3 and 5 if the sponsor is not notified.",CELEX_32014R0536_EN_TXT.pdf
155,What is the purpose of Part I of the assessment report in the context of clinical trials?,"Part I of the assessment report covers aspects related to the clinical trial, including compliance with Chapter V, manufacturing and import of investigational medicinal products, labelling requirements, and the completeness and adequacy of the investigator's brochure.",CELEX_32014R0536_EN_TXT.pdf
156,What are the risks and inconveniences for the subject that must be taken into account in the assessment report?,"The characteristics of and knowledge about the investigational medicinal products and auxiliary medicinal products, the characteristics of the intervention compared to normal clinical practice, safety measures, risk to subject health posed by the medical condition for which the investigational medicinal product is being investigated.",CELEX_32014R0536_EN_TXT.pdf
157,What is the conclusion that the reporting Member State may draw in the assessment report?,"The conduct of the clinical trial is acceptable in view of the requirements set out in this Regulation, but subject to compliance with specific conditions which shall be specifically listed in that conclusion, or the conduct of the clinical trial is not acceptable in view of the requirements set out in this Regulation.",CELEX_32014R0536_EN_TXT.pdf
158,What is the timeline for the reporting Member State to submit the final Part I of the assessment report?,Within 45 days from the validation date.,CELEX_32014R0536_EN_TXT.pdf
159,What are the three phases of the assessment process for clinical trials involving more than one Member State?,"The three phases are: (a) an initial assessment phase performed by the reporting Member State within 26 days from the validation date, (b) a coordinated review phase performed within 12 days from the end of the initial assessment phase involving all Member States concerned, and (c) a consolidation phase performed by the reporting Member State within seven days from the end of coordinated review phase.",CELEX_32014R0536_EN_TXT.pdf
160,What aspects are assessed by each Member State concerned for its own territory under Part II of the assessment report?,"The aspects assessed are: (a) compliance with the requirements for informed consent, (b) compliance of the arrangements for rewarding or compensating subjects, (c) compliance of the arrangements for recruitment of subjects, (d) compliance with Directive 95/46/EC, (e) compliance with Article 49, (f) compliance with Article 50, (g) compliance with Article 76, and (h) compliance with the applicable rules for the collection, storage, and future use of biological samples of the subject.",CELEX_32014R0536_EN_TXT.pdf
161,How long does the reporting Member State have to extend the period for requesting additional information from the sponsor for clinical trials involving an advanced therapy investigational medicinal product?,"The reporting Member State may extend the period by a further 50 days for clinical trials involving an advanced therapy investigational medicinal product, for the purpose of consulting with experts.",CELEX_32014R0536_EN_TXT.pdf
162,What is the maximum number of days that the Member State concerned can extend the period for assessing additional information from the sponsor under Article 7?,The Member State concerned can extend the period by a maximum of 31 days.,CELEX_32014R0536_EN_TXT.pdf
163,How long does the sponsor have to submit requested additional information to the reporting Member State?,"The sponsor shall submit the requested additional information within the period set by the reporting Member State, which shall not exceed 12 days from the receipt of the request.",CELEX_32014R0536_EN_TXT.pdf
164,What happens if the sponsor does not provide additional information within the period set by the reporting Member State?,"If the sponsor does not provide additional information within the period set by the reporting Member State, the application shall be deemed to have lapsed in all Member States concerned.",CELEX_32014R0536_EN_TXT.pdf
165,How long does the Member State concerned have to notify the sponsor of its decision on the clinical trial application?,"The Member State concerned shall notify the sponsor through the EU portal as to whether the clinical trial is authorized, whether it is authorized subject to conditions, or whether authorization is refused, within five days from the reporting date or from the last day of the assessment referred to in Article 7, whichever is later.",CELEX_32014R0536_EN_TXT.pdf
166,Under what grounds can a Member State concerned disagree with the conclusion of the reporting Member State as regards Part I of the assessment report?,"A Member State concerned can disagree with the conclusion of the reporting Member State as regards Part I of the assessment report on the following grounds: (a) when it considers that participation in the clinical trial would lead to a subject receiving an inferior treatment than in normal clinical practice in the Member State concerned, (b) infringement of its national law, or (c) considerations as regards subject safety and data reliability and robustness.",CELEX_32014R0536_EN_TXT.pdf
167,Can a Member State concerned request additional information regarding the aspects addressed in Part I of the assessment report from the sponsor after the reporting date?,"No, the Member States concerned shall not request additional information regarding the aspects addressed in Part I of the assessment report from the sponsor after the reporting date.",CELEX_32014R0536_EN_TXT.pdf
168,What happens to the authorization of a clinical trial if no subject has been included in the clinical trial in a Member State concerned within two years from the notification date of the authorization?,"If no subject has been included in the clinical trial in a Member State concerned within two years from the notification date of the authorization, the authorization shall expire in that Member State concerned unless an extension, on request of the sponsor, has been approved following the procedure set out in Chapter III.",CELEX_32014R0536_EN_TXT.pdf
